ID	Name	Latitude	Longitude	Height	Temperature	Pressure
89811	Law_Dome_Summit	66.7S	112.7E	1368m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89813	GC41	71.6S	111.3E	2763m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89828	Dome_C_II	75.1S	123.4E	3280m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89832	D_10	66.7S	139.8E	240m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89834	D_47	67.4S	138.7E	1560m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89836	D_80	70.0S	134.9E	2500m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89847	Penguin_Point	67.6S	146.2E	30m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89860	Lynn	74.2S	160.4E	1772m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89864	Manuela	74.9S	163.7E	80m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89865	Whitlock	76.2S	168.4E	275m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89866	Marble_Point	77.4S	163.7E	120m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89868	Schwerdtfeger	79.9S	170.0E	60m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89869	Marilyn	80.0S	165.1E	75m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89872	Ferrell	77.9S	170.8E	45m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89873	Elaine	83.1S	174.2E	60m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89879	Possession_Island	71.9S	171.2E	30m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89504	Troll	72.0S	2.50E	1284m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89812	A028	68.4S	112.2E	1622m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89767	Amery_G3	70.9S	69.9E	84m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89577	Dome_A	80.4S	77.4E	4048m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89578	Eagle	76.4S	77.0E	2830m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
89586	Mount_Brown	67.1S	86.0E	2064m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
99999	Panda	73.7S	77.0E	2584m	All 00Z 06Z 12Z 18Z 	All 00Z 06Z 12Z 18Z 
