Update UTC,Dates,Locaton,New Cases,Cumul. Cases,New Deaths,Cumul. Deaths,Death Rate,% Case Growth daily,% Deaths Growth daily,Week,Month,Country,GeoRegion,Note,CountryPopulation,Density p/km,Cases % population
4/10/2020,4/10/2020,Honduras,39,382,0,23,6.021,11,0,Week 19 Apr 05 - Apr 11,2020 April,Honduras,Central America,,9904607,89,0.004
4/10/2020,4/10/2020,Ghana,0,378,0,6,1.587,0,0,Week 19 Apr 05 - Apr 11,2020 April,Ghana,Africa,,31072940,137,0.001
4/10/2020,4/10/2020,Jordan,0,372,0,7,1.882,0,0,Week 19 Apr 05 - Apr 11,2020 April,Jordan,Middle East,,10203134,115,0.004
4/10/2020,4/10/2020,Réunion,0,362,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Réunion,Africa,,895312,358,0.04
4/10/2020,4/10/2020,Channel Islands,0,361,0,8,2.216,0,0,Week 19 Apr 05 - Apr 11,2020 April,Channel Islands,Europe,,173863,915,0.208
4/10/2020,4/10/2020,Malta,13,350,0,2,0.571,4,0,Week 19 Apr 05 - Apr 11,2020 April,Malta,Europe,,441543,1380,0.079
4/10/2020,4/10/2020,San Marino,0,333,0,34,10.21,0,0,Week 19 Apr 05 - Apr 11,2020 April,San Marino,Europe,,33931,566,0.981
4/10/2020,4/10/2020,Mauritius,0,314,2,9,2.866,0,29,Week 19 Apr 05 - Apr 11,2020 April,Mauritius,Africa,,1271768,626,0.025
4/10/2020,4/10/2020,Kyrgyzstan,18,298,1,5,1.678,6,25,Week 19 Apr 05 - Apr 11,2020 April,Kyrgyzstan,Asia,,6524195,34,0.005
4/10/2020,4/10/2020,Nigeria,0,288,0,7,2.431,0,0,Week 19 Apr 05 - Apr 11,2020 April,Nigeria,Africa,,206139589,226,0
4/10/2020,4/10/2020,Bolivia,4,268,1,19,7.09,2,6,Week 19 Apr 05 - Apr 11,2020 April,Bolivia,South America,,11673021,11,0.002
4/10/2020,4/10/2020,Palestine,3,266,1,2,0.752,1,100,Week 19 Apr 05 - Apr 11,2020 April,Palestine,Asia,,5101414,847,0.005
4/10/2020,4/10/2020,Senegal,15,265,0,2,0.755,6,0,Week 19 Apr 05 - Apr 11,2020 April,Senegal,Africa,,16743927,87,0.002
4/10/2020,4/10/2020,Vietnam,2,257,0,0,0,1,,Week 19 Apr 05 - Apr 11,2020 April,Vietnam,Asia,,97338579,314,0
4/10/2020,4/10/2020,Montenegro,3,255,0,2,0.784,1,0,Week 19 Apr 05 - Apr 11,2020 April,Montenegro,Europe,,628066,47,0.041
4/10/2020,4/10/2020,Georgia,12,230,0,3,1.304,6,0,Week 19 Apr 05 - Apr 11,2020 April,Georgia,Asia,,3989167,57,0.006
4/10/2020,4/10/2020,DRC,35,215,2,20,9.302,19,11,Week 19 Apr 05 - Apr 11,2020 April,Democratic Republic of the Congo,Africa,,89561403,40,0
4/10/2020,4/10/2020,Guinea,0,194,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Guinea,Africa,,13132795,53,0.001
4/10/2020,4/10/2020,Isle of Man,0,190,0,1,0.526,0,0,Week 19 Apr 05 - Apr 11,2020 April,Isle of Man,Europe,,85033,149,0.223
4/10/2020,4/10/2020,Sri Lanka,0,190,0,7,3.684,0,0,Week 19 Apr 05 - Apr 11,2020 April,Sri Lanka,Asia,,21413249,341,0.001
4/10/2020,4/10/2020,Mayotte,2,186,0,2,1.075,1,0,Week 19 Apr 05 - Apr 11,2020 April,Mayotte,Africa,,272815,728,0.068
4/10/2020,4/10/2020,Kenya,0,184,0,7,3.804,0,0,Week 19 Apr 05 - Apr 11,2020 April,Kenya,Africa,,53771296,94,0
4/10/2020,4/10/2020,Faroe Islands,0,184,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Faroe Islands,Europe,,48863,35,0.377
4/10/2020,4/10/2020,Venezuela,0,171,0,9,5.263,0,0,Week 19 Apr 05 - Apr 11,2020 April,Venezuela,South America,,28435940,32,0.001
4/10/2020,4/10/2020,Martinique,0,154,0,6,3.896,0,0,Week 19 Apr 05 - Apr 11,2020 April,Martinique,Caribbean,,375265,354,0.041
4/10/2020,4/10/2020,Guadeloupe,0,143,0,8,5.594,0,0,Week 19 Apr 05 - Apr 11,2020 April,Guadeloupe,Caribbean,,400124,237,0.036
4/10/2020,4/10/2020,Djibouti,0,140,0,1,0.714,0,0,Week 19 Apr 05 - Apr 11,2020 April,Djibouti,Africa,,988000,43,0.014
4/10/2020,4/10/2020,Brunei,1,136,0,1,0.735,1,0,Week 19 Apr 05 - Apr 11,2020 April,Brunei,Asia,,437479,83,0.031
4/10/2020,4/10/2020,Paraguay,5,129,1,6,4.651,4,20,Week 19 Apr 05 - Apr 11,2020 April,Paraguay,South America,,7132538,18,0.002
4/10/2020,4/10/2020,Guatemala,31,126,0,3,2.381,33,0,Week 19 Apr 05 - Apr 11,2020 April,Guatemala,Central America,,17915568,167,0.001
4/10/2020,4/10/2020,Gibraltar,0,123,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Gibraltar,Europe,,33691,3369,0.365
4/10/2020,4/10/2020,Cambodia,0,119,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Cambodia,Asia,,16718965,95,0.001
4/10/2020,4/10/2020,El Salvador,14,117,0,6,5.128,14,0,Week 19 Apr 05 - Apr 11,2020 April,El Salvador,Central America,,6486205,313,0.002
4/10/2020,4/10/2020,Rwanda,0,113,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Rwanda,Africa,,12952218,525,0.001
4/10/2020,4/10/2020,Trinidad and Tobago,0,109,0,8,7.339,0,0,Week 19 Apr 05 - Apr 11,2020 April,Trinidad and Tobago,Caribbean,,1399488,273,0.008
4/10/2020,4/10/2020,Madagascar,0,93,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Madagascar,Africa,,27691018,48,0
4/10/2020,4/10/2020,Monaco,0,84,0,1,1.19,0,0,Week 19 Apr 05 - Apr 11,2020 April,Monaco,Europe,,39242,,0.214
4/10/2020,4/10/2020,Aruba,0,82,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Aruba,Caribbean,,106766,593,0.077
4/10/2020,4/10/2020,Liechtenstein,0,78,0,1,1.282,0,0,Week 19 Apr 05 - Apr 11,2020 April,Liechtenstein,Europe,,38128,238,0.205
4/10/2020,4/10/2020,Togo,3,76,0,3,3.947,4,0,Week 19 Apr 05 - Apr 11,2020 April,Togo,Africa,,8278724,152,0.001
4/10/2020,4/10/2020,Mali,0,74,0,7,9.459,0,0,Week 19 Apr 05 - Apr 11,2020 April,Mali,Africa,,20250833,17,0
4/10/2020,4/10/2020,Barbados,0,66,0,3,4.545,0,0,Week 19 Apr 05 - Apr 11,2020 April,Barbados,Caribbean,,287375,668,0.023
4/10/2020,4/10/2020,Ethiopia,9,65,0,2,3.077,16,0,Week 19 Apr 05 - Apr 11,2020 April,Ethiopia,Africa,,114963588,115,0
4/10/2020,4/10/2020,Jamaica,0,63,0,4,6.349,0,0,Week 19 Apr 05 - Apr 11,2020 April,Jamaica,Caribbean,,2961167,273,0.002
4/10/2020,4/10/2020,Congo,0,60,0,5,8.333,0,0,Week 19 Apr 05 - Apr 11,2020 April,Republic of the Congo,Africa,,5518087,16,0.001
4/10/2020,4/10/2020,Uganda,0,53,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Uganda,Africa,,45741007,229,0
4/10/2020,4/10/2020,French Polynesia,0,51,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,French Polynesia,Oceania,,280908,77,0.018
4/10/2020,4/10/2020,Sint Maarten,7,50,2,8,16,16,33,Week 19 Apr 05 - Apr 11,2020 April,Sint Maarten,Caribbean,,42876,1261,0.117
4/10/2020,4/10/2020,Bermuda,0,48,0,4,8.333,0,0,Week 19 Apr 05 - Apr 11,2020 April,Bermuda,Caribbean,,62278,1246,0.077
4/10/2020,4/10/2020,Macau,0,45,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,"REGIONS, Macau","Asia, Asia",,649335,21645,0.007
4/10/2020,4/10/2020,Cayman Islands,0,45,0,1,2.222,0,0,Week 19 Apr 05 - Apr 11,2020 April,Cayman Islands,Caribbean,,65722,274,0.068
4/10/2020,4/10/2020,Gabon,0,44,0,1,2.273,0,0,Week 19 Apr 05 - Apr 11,2020 April,Gabon,Africa,,2225734,9,0.002
4/10/2020,4/10/2020,Bahamas,0,41,0,8,19.512,0,0,Week 19 Apr 05 - Apr 11,2020 April,Bahamas,Caribbean,,393244,39,0.01
4/10/2020,4/10/2020,Zambia,0,39,1,2,5.128,0,100,Week 19 Apr 05 - Apr 11,2020 April,Zambia,Africa,,18383955,25,0
4/10/2020,4/10/2020,Guyana,0,37,0,6,16.216,0,0,Week 19 Apr 05 - Apr 11,2020 April,Guyana,South America,,786552,4,0.005
4/10/2020,4/10/2020,Guinea-Bissau,0,36,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Guinea-Bissau,Africa,,1968001,70,0.002
4/10/2020,4/10/2020,Eritrea,0,33,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Eritrea,Africa,,3546421,35,0.001
4/10/2020,4/10/2020,Saint Martin,0,32,0,2,6.25,0,0,Week 19 Apr 05 - Apr 11,2020 April,Saint Martin,Caribbean,,38666,53,0.083
4/10/2020,4/10/2020,Liberia,0,31,0,4,12.903,0,0,Week 19 Apr 05 - Apr 11,2020 April,Liberia,Africa,,5057681,53,0.001
