Update UTC,Dates,Locaton,New Cases,Cumul. Cases,New Deaths,Cumul. Deaths,Death Rate,% Case Growth daily,% Deaths Growth daily,Week,Month,Country,GeoRegion,Note,CountryPopulation,Density p/km,Cases % population
4/10/2020,4/10/2020,Falkland Islands,0,5,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Falkland Islands,South America,,3480,103,0.144
4/10/2020,4/10/2020,Sao Tome and Principe,0,4,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Sao Tome and Principe,Africa,,219159,228,0.002
4/10/2020,4/10/2020,Gambia,0,4,0,1,25,0,0,Week 19 Apr 05 - Apr 11,2020 April,Gambia,Africa,,2416668,239,0
4/10/2020,4/10/2020,Western Sahara,0,4,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Western Sahara,Africa,,597339,2,0.001
4/10/2020,4/10/2020,British Virgin Islands,0,3,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,British Virgin Islands,Caribbean,,30231,202,0.01
4/10/2020,4/10/2020,South Sudan,0,3,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,South Sudan,Africa,,11193725,18,0
4/10/2020,4/10/2020,Burundi,0,3,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Burundi,Africa,,11890784,463,0
4/10/2020,4/10/2020,Anguilla,0,3,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Anguilla,Caribbean,,15003,167,0.02
4/10/2020,4/10/2020,Caribbean Netherlands,0,2,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Netherlands Antilles,Caribbean,,,,Infinity
4/10/2020,4/10/2020,Papua New Guinea,0,2,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Papua New Guinea,Oceania,,8947024,20,0
4/10/2020,4/10/2020,Timor-Leste,1,2,0,0,0,100,,Week 19 Apr 05 - Apr 11,2020 April,East Timor,Oceania,,1318445,89,0
4/10/2020,4/10/2020,Saint Pierre Miquelon,0,1,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,St Pierre and Miquelon,Caribbean,,5794,25,0.017
4/10/2020,4/10/2020,Yemen,1,1,0,0,0,,,Week 19 Apr 05 - Apr 11,,Yemen,Middle East,,29825964,56,0
4/10/2020,4/10/2020,French Guiana,0,,0,,,,,Week 19 Apr 05 - Apr 11,2020 April,French Guiana,South America,,298682,4,0
4/10/2020,4/10/2020,Guam,0,,0,,,,,Week 19 Apr 05 - Apr 11,2020 April,Guam,Asia,,168775,313,0
4/10/2020,4/10/2020,Puerto Rico,0,,0,,,,,Week 19 Apr 05 - Apr 11,2020 April,Puerto Rico,Caribbean,,2860853,323,0
4/10/2020,4/10/2020,U.S. Virgin Islands,0,,0,,,,,Week 19 Apr 05 - Apr 11,2020 April,US Virgin Islands,Caribbean,,104425,298,0
